Date,Coal,Demand,Hydroelectric,Natural Gas,Nuclear,Other,Solar,Wind
20150708T08-05,,41210,,,,,,
20150708T09-05,,42927,,,,,,
20150708T10-05,,45307,,,,,,
20150708T11-05,,47839,,,,,,
20150708T12-05,,50133,,,,,,
20150708T13-05,,51675,,,,,,
20150708T14-05,,53007,,,,,,
20150708T15-05,,53892,,,,,,
20150708T16-05,,54698,,,,,,
20150708T17-05,,55243,,,,,,
20150708T18-05,,55120,,,,,,
20150708T19-05,,54163,,,,,,
20150708T20-05,,52435,,,,,,
20150708T21-05,,51291,,,,,,
20150708T22-05,,50386,,,,,,
20150708T23-05,,47339,,,,,,
20150709T00-05,,43762,,,,,,
20150709T01-05,,40674,,,,,,
20150709T02-05,,38644,,,,,,
20150709T03-05,,37246,,,,,,
20150709T04-05,,36413,,,,,,
20150709T05-05,,36291,,,,,,
20150709T06-05,,37340,,,,,,
20150709T07-05,,38847,,,,,,
20150709T08-05,,40093,,,,,,
20150709T09-05,,42543,,,,,,
20150709T10-05,,45601,,,,,,
20150709T11-05,,48847,,,,,,
20150709T12-05,,51624,,,,,,
20150709T13-05,,54256,,,,,,
20150709T14-05,,56757,,,,,,
20150709T15-05,,58875,,,,,,
20150709T16-05,,60458,,,,,,
20150709T17-05,,61133,,,,,,
20150709T18-05,,60661,,,,,,
20150709T19-05,,59092,,,,,,
20150709T20-05,,56622,,,,,,
20150709T21-05,,54311,,,,,,
20150709T22-05,,52761,,,,,,
20150709T23-05,,49075,,,,,,
20150710T00-05,,44771,,,,,,
20150710T01-05,,41144,,,,,,
20150710T02-05,,38589,,,,,,
20150710T03-05,,36785,,,,,,
20150710T04-05,,35688,,,,,,
20150710T05-05,,35399,,,,,,
20150710T06-05,,36384,,,,,,
20150710T07-05,,37726,,,,,,
20150710T08-05,,38978,,,,,,
20150710T09-05,,41656,,,,,,
20150710T10-05,,44938,,,,,,
20150710T11-05,,48512,,,,,,
20150710T12-05,,51701,,,,,,
20150710T13-05,,54559,,,,,,
20150710T14-05,,57143,,,,,,
20150710T15-05,,59142,,,,,,
20150710T16-05,,60595,,,,,,
20150710T17-05,,61174,,,,,,
20150710T18-05,,60690,,,,,,
20150710T19-05,,58895,,,,,,
20150710T20-05,,56277,,,,,,
20150710T21-05,,53832,,,,,,
20150710T22-05,,52111,,,,,,
20150710T23-05,,48757,,,,,,
20150711T00-05,,44945,,,,,,
20150711T01-05,,41603,,,,,,
20150711T02-05,,39103,,,,,,
20150711T03-05,,37255,,,,,,
20150711T04-05,,35962,,,,,,
20150711T05-05,,35185,,,,,,
20150711T06-05,,35182,,,,,,
20150711T07-05,,35265,,,,,,
20150711T08-05,,36075,,,,,,
20150711T09-05,,39199,,,,,,
20150711T10-05,,42961,,,,,,
20150711T11-05,,46804,,,,,,
20150711T12-05,,50282,,,,,,
20150711T13-05,,53053,,,,,,
20150711T14-05,,55303,,,,,,
20150711T15-05,,56943,,,,,,
20150711T16-05,,58099,,,,,,
20150711T17-05,,58805,,,,,,
20150711T18-05,,58674,,,,,,
20150711T19-05,,57576,,,,,,
20150711T20-05,,55472,,,,,,
20150711T21-05,,53054,,,,,,
20150711T22-05,,51565,,,,,,
20150711T23-05,,48465,,,,,,
20150712T00-05,,44990,,,,,,
20150712T01-05,,41794,,,,,,
20150712T02-05,,39315,,,,,,
20150712T03-05,,37331,,,,,,
20150712T04-05,,35886,,,,,,
20150712T05-05,,35026,,,,,,
20150712T06-05,,34756,,,,,,
20150712T07-05,,34420,,,,,,
20150712T08-05,,35021,,,,,,
20150712T09-05,,38219,,,,,,
20150712T10-05,,42049,,,,,,
20150712T11-05,,45945,,,,,,
20150712T12-05,,49743,,,,,,
20150712T13-05,,52982,,,,,,
20150712T14-05,,55687,,,,,,
20150712T15-05,,57801,,,,,,
20150712T16-05,,59316,,,,,,
20150712T17-05,,60254,,,,,,
20150712T18-05,,60501,,,,,,
20150712T19-05,,59694,,,,,,
20150712T20-05,,57851,,,,,,
20150712T21-05,,55693,,,,,,
20150712T22-05,,54186,,,,,,
20150712T23-05,,50588,,,,,,
20150713T00-05,,46394,,,,,,
20150713T01-05,,42767,,,,,,
20150713T02-05,,40163,,,,,,
20150713T03-05,,38324,,,,,,
20150713T04-05,,37208,,,,,,
20150713T05-05,,36919,,,,,,
20150713T06-05,,37868,,,,,,
20150713T07-05,,39245,,,,,,
20150713T08-05,,40564,,,,,,
20150713T09-05,,43402,,,,,,
20150713T10-05,,46898,,,,,,
20150713T11-05,,50816,,,,,,
20150713T12-05,,54576,,,,,,
20150713T13-05,,57976,,,,,,
20150713T14-05,,61033,,,,,,
20150713T15-05,,63178,,,,,,
20150713T16-05,,64405,,,,,,
20150713T17-05,,64922,,,,,,
20150713T18-05,,64662,,,,,,
20150713T19-05,,63467,,,,,,
20150713T20-05,,61247,,,,,,
20150713T21-05,,58656,,,,,,
20150713T22-05,,56732,,,,,,
20150713T23-05,,52440,,,,,,
20150714T00-05,,47756,,,,,,
20150714T01-05,,43888,,,,,,
20150714T02-05,,41031,,,,,,
20150714T03-05,,38991,,,,,,
20150714T04-05,,37550,,,,,,
20150714T05-05,,37152,,,,,,
20150714T06-05,,38133,,,,,,
20150714T07-05,,39532,,,,,,
20150714T08-05,,40692,,,,,,
20150714T09-05,,43311,,,,,,
20150714T10-05,,46683,,,,,,
20150714T11-05,,50567,,,,,,
20150714T12-05,,54224,,,,,,
20150714T13-05,,57543,,,,,,
20150714T14-05,,60665,,,,,,
20150714T15-05,,63169,,,,,,
20150714T16-05,,64570,,,,,,
20150714T17-05,,65134,,,,,,
20150714T18-05,,64832,,,,,,
20150714T19-05,,63588,,,,,,
20150714T20-05,,61110,,,,,,
20150714T21-05,,58458,,,,,,
20150714T22-05,,56384,,,,,,
20150714T23-05,,52099,,,,,,
20150715T00-05,,47360,,,,,,
20150715T01-05,,43387,,,,,,
20150715T02-05,,40541,,,,,,
20150715T03-05,,38558,,,,,,
