Panaderia Tierra Caliente #3,,,,
5800 Bellaire Blvd Ste 128,,,,
"Houston, TX 77081",,,,
,,,,
,,,,
,,,,
*** TOTAL INVENTORY REPORT BY MENU ITEM ***,,,,
From 04/17/2022 To 04/23/2022,,,,
,,,,
,,,,
SNAP CATEGORY,MENU ITEM,SALES AMOUNT,PERCENTAGE,QUANTITY
Accessory Foods,RED BULL 8.4 OZ, $ 59.39 ,0.12%,20
Accessory Foods,Cono, $ 59.13 ,0.12%,38
Accessory Foods,Banderilla Almendra, $ 58.09 ,0.12%,32
Staple Foods,botella de agua 12oz, $ 57.77 ,0.12%,45
Staple Foods,GOYA PILONCILLO 8oz, $ 57.77 ,0.12%,45
Accessory Foods,Enamorados, $ 57.06 ,0.12%,44
Staple Foods,LATA AGUA DE COCO 17.6, $ 56.91 ,0.12%,21
Staple Foods,QUESO FRIJ MI TIERRA14, $ 55.28 ,0.11%,7
Accessory Foods,Nuez de Azucar, $ 54.85 ,0.11%,47
Accessory Foods,Concha Grande, $ 54.46 ,0.11%,21
Staple Foods,Semita Aniz, $ 53.69 ,0.11%,46
Accessory Foods,GATORADE GRANDE 32oz, $ 52.69 ,0.11%,17
Accessory Foods,Khalua slice, $ 52.52 ,0.11%,9
Accessory Foods,CHEESECAKE FLAN $40, $ 51.87 ,0.11%,1
Accessory Foods,CHOCOFLAN  HAWAII $40, $ 51.87 ,0.11%,1
Accessory Foods,M-Pastel $40, $ 51.87 ,0.11%,1
Accessory Foods,"TIRAMISU 10"" $40", $ 51.87 ,0.11%,1
Accessory Foods,GALLETA DE ARCOIRIS, $ 50.57 ,0.10%,26
Accessory Foods,Canasta .90, $ 50.18 ,0.10%,43
Accessory Foods,CAKE POP $3.00, $ 49.92 ,0.10%,11
Accessory Foods,Ratones, $ 49.92 ,0.10%,11
Accessory Foods,Chamuco, $ 49.80 ,0.10%,48
Accessory Foods,Panadero, $ 49.80 ,0.10%,48
Accessory Foods,Long John Azucar, $ 49.28 ,0.10%,38
